Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
311-464KHRCT-ND,YAGEO (VA),RC0603FR-07464KL,,10,0,0,17 Weeks,RES 464K OHM 1/10W 1% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-178KHRCT-ND,YAGEO (VA),RC0603FR-07178KL,,10,0,0,17 Weeks,RES 178K OHM 1/10W 1% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-187KLRCT-ND,YAGEO (VA),RC0402FR-07187KL,,10,0,0,17 Weeks,RES 187K OHM 1/16W 1% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
311-750KGRCT-ND,YAGEO (VA),RC0603JR-07750KL,,10,0,0,17 Weeks,RES 750K OHM 1/10W 5% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
P200KLCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-2RKF2003X,,10,0,0,7 Weeks,RES 200K OHM 1/10W 1% 0402 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
311-280KHRCT-ND,YAGEO (VA),RC0603FR-07280KL,,10,0,0,17 Weeks,RES 280K OHM 1/10W 1% 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Sep-2011
1276-5118-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608J224CS,,10,0,0,12-14 Weeks,RES 220K OHM 1/10W 5% 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
568-10405-1-ND,NXP SEMICONDUCTORS (VA),"IP4292CZ10-TBR,115",,2,0,0,27 Weeks,TVS DIODE 5.5VWM 4VC 10DFN,Alternate Packaging Exists,RoHS Compliant,Lead free,Not Available
M25P80-VMN6TPCT-ND,MICRON TECHNOLOGY INC (VA),M25P80-VMN6TP,,2,0,0,8-10 Weeks,IC FLASH 8MBIT 75MHZ 8SO,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Aug-2011
CAT10-000J4LFCT-ND,BOURNS INC (VA),CAT10-000J4LF,,10,0,0,15 Weeks,RES ARRAY ZERO OHM 4 RES 0804,,RoHS Compliant,Lead free,Unaffected Dec-2013
